"S.no","Transaction ID","Transaction date","Cheque No","Description","Withdrawal(Dr)","Deposit(Cr)","Available Balance","Page Number","Minus"
"1","S6916834","02/04/2025","","187005002256:Int.Coll:03-03-2025to 01-04-2025","37404.00","","-4683271.02","1","1"
"2","S8514917","03/04/2025","","RTGS-HDFCR52025040357349821-PUNAJCORP-99997777777","","3500000.00","-1183271.02","1","1"
"3","S1696172","06/04/2025","","penalcharges","0.28","","-1183271.30","1","1"
"4","S2232281","30/04/2025","","RENEWALFEE_SR269219435","5000.00","","-1188271.30","1","1"
"5","S2232281","30/04/2025","","SGST202504306088176954","450.00","","-1188721.30","1","1"
"149","S28281","31/03/2026","","RTGS-HDFCR52026033190246692-PUNAJCORP-99997777777","","3000000.00","-559735.76","2","0"
"150","S983547","01/04/2026","","RTGS-HDFCR52026040190461052-PUNAJCORP-99997777777","","4200000.00","3640264.24","2","0"
"151","S1141486","01/04/2026","","187005002256:Int.Coll:02-03-2026to 31-03-2026","26110.00","","3614154.24","2","0"
"152","S1845541","02/04/2026","","RTGS/ICICR42026040200533355/IBKL0001867/ASHWINIE","998237.00","","2615917.24","2","0"
"153","S1902895","02/04/2026","","INF/INFT/043918309631/Self-XXX286","500000.00","","2115917.24","2","0"
"154","S2591769","03/04/2026","","RTGS-HDFCR52026040291215816-PUNAJCORP-99997777777","","4900000.00","7015917.24","2","0"
"155","S2987189","03/04/2026","","MMT/IMPS/609312066625/adv/AnilSavlir/SBIN0011677","100000.00","","6915917.24","2","0"
"156","S3423499","03/04/2026","","INF/INFT/043937454291/adv/CR1ELECMETPV","1000.00","","6914917.24","3","0"
"157","S3896352","04/04/2026","","MMT/IMPS/609413365972/adv/Thakrenand/HCBL0000104","100000.00","","6814917.24","3","0"
"158","S4108950","04/04/2026","","MMT/IMPS/609417880213/MSTRADINGCORPOR/SBIN0014885","371238.00","","6443679.24","3","0"
"159","S4259932","04/04/2026","","MMT/IMPS/609419271875/loanemi/DipakPatil/HDFC00004","75280.00","","6368399.24","3","0"
"160","S4806720","05/04/2026","","INF/INFT/043953469661/adv/CR1ELECMETPV","1000000.00","","5368399.24","3","0"
