"Value Date","Post Date","Credit Amount","Debit Amount","Closing Balance","Description","Page Number","Minus"
"01/05/2026","01/05/2026","","127704","-156640639.81","WITHDRAWAL TRANSFER SI LOAN OVERDUE AMT TRANSACTION GOEL CARGO PVT. LTD.","1","1"
"01/05/2026","01/05/2026","","500028.91","-157140668.72","WITHDRAWAL TRANSFER RTGS/ICIC/IDIBR520260501019602 68/ECT POOL/. Txn Amt. 500000.00 Charges. 28.91","1","1"
"01/05/2026","01/05/2026","","500028.91","-157640697.63","WITHDRAWAL TRANSFER RTGS/ICIC/IDIBR520260501019602 71/HPCL Dri/. Txn Amt. 500000.00 Charges. 28.91","1","1"
"01/05/2026","01/05/2026","","36281.61","-157676979.24","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P001 / NEFT/BARB/IDIBN52026050140165 278/KAMDA SH/ Txn Amt. 36276.00 Charges. 5.61","1","1"
"01/05/2026","01/05/2026","","9996.66","-157686975.9","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P002 / NEFT/UBIN/IDIBN520260501401659 49/SURAJ KU/ Txn Amt. 9994.00 Charges. 2.66","1","1"
"01/05/2026","01/05/2026","","5100","-157692075.9","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P006 / NEFT/SBIN/IDIBN520260501401652 84/ABDUL KA/ Txn Amt. 5097.34 Charges. 2.66","1","1"
"01/05/2026","01/05/2026","","8100","-157700175.9","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P004 / NEFT/SBIN/IDIBN520260501401659 50/KAILASH / Txn Amt. 8097.34 Charges. 2.66","2","1"
"01/05/2026","01/05/2026","","6100","-157706275.9","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P005 / NEFT/UBIN/IDIBN520260501401659 51/RAJU KUS/ Txn Amt. 6097.34 Charges. 2.66","2","1"
"01/05/2026","01/05/2026","","16956.61","-157723232.51","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P003 / NEFT/PUNB/IDIBN52026050140165 722/SATISH K/ Txn Amt. 16951.00 Charges. 5.61","2","1"
"01/05/2026","01/05/2026","","223657.91","-157946890.42","WITHDRAWAL TRANSFER RTGS/SBIN/IDIBR52026050101961 281/SHIV FIL/ONLINE B Txn Amt. 223629.00 Charges. 28.91","2","1"
"02/05/2026","02/05/2026","10000000","","-147946890.42","NO BOOK DEPOSIT TRANSFER Transfer 50056GOEL CARGO PVT gcpl KALYANI MINERALS LLP","2","1"
"02/05/2026","02/05/2026","","1300000","-149246890.42","WITHDRAWAL TRANSFER 51049 GOEL CARGO PVT LTD (GOEL ASHOK LEYLAND)","2","1"
"02/05/2026","02/05/2026","","500028.91","-149746919.33","WITHDRAWAL TRANSFER RTGS/ICIC/IDIBR520260502019701 65/ECT POOL/. Txn Amt. 500000.00 Charges. 28.91","2","1"
"02/05/2026","02/05/2026","","57182","-149804101.33","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P011 / NEFT/SBIN/IDIBN520260502402864 29/HINCHLAL/ Txn Amt. 57176.39 Charges. 5.61","2","1"
"02/05/2026","02/05/2026","","33421","-149837522.33","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P012 / NEFT/ICIC/IDIBN520260502402867 29/RAVI PRA/ Txn Amt. 33415.39 Charges. 5.61","3","1"
"02/05/2026","02/05/2026","","99241","-149936763.33","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P013 / NEFT/UBIN/IDIBN520260502402864 32/KANHIYA / Txn Amt. 99235.39 Charges. 5.61","3","1"
"02/05/2026","02/05/2026","","18340","-149955103.33","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P014 / NEFT/ICIC/IDIBN520260502402864 34/SHIV DAY/ Txn Amt. 18334.39 Charges. 5.61","3","1"
"02/05/2026","02/05/2026","","25191","-149980294.33","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P020 / NEFT/SBIN/IDIBN520260502402864 36/PRABHAKA/ Txn Amt. 25185.39 Charges. 5.61","3","1"
"02/05/2026","02/05/2026","","14897","-149995191.33","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P016 / NEFT/ICIC/IDIBN520260502402867 34/SHANKAR / Txn Amt. 14891.39 Charges. 5.61","3","1"
"02/05/2026","02/05/2026","","19741","-150014932.33","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P017 / NEFT/UBIN/IDIBN520260502402867 35/GAYANEND/ Txn Amt. 19735.39 Charges. 5.61","3","1"
"02/05/2026","02/05/2026","","41189","-150056121.33","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P018 / NEFT/ICIC/IDIBN520260502402862 22/MRATUNJA/ Txn Amt. 41183.39 Charges. 5.61","4","1"
"02/05/2026","02/05/2026","","27582","-150083703.33","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P019 / NEFT/SBIN/IDIBN520260502402867 39/RAMMANI / Txn Amt. 27576.39 Charges. 5.61","4","1"
"02/05/2026","02/05/2026","","28443","-150112146.33","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P015 / NEFT/UBIN/IDIBN520260502402867 46/RADHE SA/ Txn Amt. 28437.39 Charges. 5.61","4","1"
"02/05/2026","02/05/2026","","7500058.41","-157612204.74","WITHDRAWAL TRANSFER RTGS/PUNB/IDIBR52026050201974 751/JAGDAMBA/ONLINE B Txn Amt. 7500000.00 Charges. 58.41","4","1"
"02/05/2026","02/05/2026","","700000","-158312204.74","CAS REMITTANCE THROUGH CHEQUE INW_CLG :ClgInwPr: KALRA ENTERPRISChqNo:322204","4","1"
"02/05/2026","02/05/2026","","500000","-158812204.74","CAS REMITTANCE THROUGH CHEQUE INW_CLG :ClgInwPr: M P TYRES PVT LChqNo:322205","4","1"
"02/05/2026","02/05/2026","714420","","-158097784.74","NO BOOK DEPOSIT TRANSFER RTGS/HDFC/HDFCR520260502530 66875/SATNA U//","4","1"
"02/05/2026","02/05/2026","13771315.47","","-144326469.27","NO BOOK DEPOSIT TRANSFER RTGS/ICIC/ICICR220260502160465 34/PRISM JO/","4","1"
"04/05/2026","04/05/2026","","1500058.41","-145826527.68","WITHDRAWAL TRANSFER RTGS/HDFC/IDIBR52026050401992 235/IOCXPP /. Txn Amt. 1500000.00 Charges. 58.41","4","1"
"04/05/2026","04/05/2026","","500028.91","-146326556.59","WITHDRAWAL TRANSFER RTGS/HDFC/IDIBR52026050401992 236/BPCL CAR/. Txn Amt. 500000.00 Charges. 28.91","5","1"
"04/05/2026","04/05/2026","","2400000","-148726556.59","WITHDRAWAL TRANSFER 51049 GOEL CARGO PVT LTD (GOEL ASHOK LEYLAND)","5","1"
"04/05/2026","04/05/2026","","500028.91","-149226585.5","WITHDRAWAL TRANSFER RTGS/ICIC/IDIBR520260504019968 58/ECT POOL/. Txn Amt. 500000.00 Charges. 28.91","5","1"
"04/05/2026","04/05/2026","","700058.41","-149926643.91","WITHDRAWAL TRANSFER RTGS/ICIC/IDIBR520260504020076 72/HPCL Dri/. Txn Amt. 700000.00 Charges. 58.41","5","1"
"04/05/2026","04/05/2026","","300028.91","-150226672.82","WITHDRAWAL TRANSFER RTGS/HDFC/IDIBR52026050402008 286/IOCXPP /. Txn Amt. 300000.00 Charges. 28.91","5","1"
"04/05/2026","04/05/2026","","200028.91","-150426701.73","WITHDRAWAL TRANSFER RTGS/HDFC/IDIBR52026050402008 316/LAKSHMI /. Txn Amt. 200000.00 Charges. 28.91","5","1"
"04/05/2026","04/05/2026","","501024.41","-150927726.14","WITHDRAWAL TRANSFER RTGS/SBIN/IDIBR52026050402009 396/SHIV FIL/ONLINE B Txn Amt. 500966.00 Charges. 58.41","5","1"
"04/05/2026","04/05/2026","","15005.61","-150942731.75","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P810 / NEFT/UBIN/IDIBN520260504405890 52/Ravi Sha/ Txn Amt. 15000.00 Charges. 5.61","5","1"
"05/05/2026","05/05/2026","","8800","-150951531.75","CAS REMITTANCE THROUGH CHEQUE INW_CLG :ClgInwPr: RAJESH KUMAR MIChqNo:322308","5","1"
"05/05/2026","05/05/2026","","9070","-150960601.75","WITHDRAWAL TRANSFER / BRANCH-P053 / MANOJ TRIPATHI","6","1"
"05/05/2026","05/05/2026","","8000","-150968601.75","WITHDRAWAL TRANSFER / BRANCH-P023 / VISHRAM SINGH","6","1"
"05/05/2026","05/05/2026","","1900029.21","-152868630.96","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P043 / NEFT/HDFC/IDIBN52026050540664 385/INDIAN O/ Txn Amt. 1900000.00 Charges. 29.21","6","1"
"05/05/2026","05/05/2026","","70005.61","-152938636.57","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P253 / NEFT/SBIN/IDIBN520260505406646 93/INDORE C/ Txn Amt. 70000.00 Charges. 5.61","6","1"
"05/05/2026","05/05/2026","","500029.21","-153438665.78","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P276 / NEFT/ICIC/IDIBN520260505406638 70/HPCL / Txn Amt. 500000.00 Charges. 29.21","6","1"
"05/05/2026","05/05/2026","","9072.66","-153447738.44","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P804 / NEFT/SBIN/IDIBN520260505406645 49/Rajesh K/ Txn Amt. 9070.00 Charges. 2.66","6","1"
"05/05/2026","05/05/2026","","32505.61","-153480244.05","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P512 / NEFT/UTIB/IDIBN520260505406646 97/AJIT SI/ Txn Amt. 32500.00 Charges. 5.61","6","1"
"05/05/2026","05/05/2026","","13005.61","-153493249.66","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P576 / NEFT/AUBL/IDIBN52026050540664 698/AJAY KUM/ Txn Amt. 13000.00 Charges. 5.61","7","1"
"05/05/2026","05/05/2026","","5510.66","-153498760.32","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P396 / NEFT/YESB/IDIBN52026050540663 871/PREJAG H/ Txn Amt. 5508.00 Charges. 2.66","7","1"
"05/05/2026","05/05/2026","","2500000","-155998760.32","C.A.S. CASH CHEQUE Paid to SEF Branch-UMARI (M.P.)","7","1"
"05/05/2026","05/05/2026","","50000","-156048760.32","DEBIT TRANS TDS FOR CASH WITHDRAWAL","7","1"
"05/05/2026","05/05/2026","","335968.21","-156384728.53","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P810 / NEFT/SBIN/IDIBN520260505407788 09/SHIV FIL/ Txn Amt. 335939.00 Charges. 29.21","7","1"
"05/05/2026","05/05/2026","","10000","-156394728.53","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P011 / NEFT/CBIN/IDIBN520260505407785 07/BIHARI S/ Txn Amt. 9997.34 Charges. 2.66","7","1"
"05/05/2026","05/05/2026","6543576.9","","-149851151.63","NO BOOK DEPOSIT TRANSFER NEFT/UTIB/UTIBN62026050596295 577/J K CEMENT/","7","1"
"06/05/2026","06/05/2026","8000000","","-141851151.63","NO BOOK DEPOSIT TRANSFER Transfer 50056GOEL CARGO PVT Goel Cargo KALYANI MINERALS LLP","7","1"
"06/05/2026","06/05/2026","","1700058.41","-143551210.04","WITHDRAWAL TRANSFER RTGS/HDFC/IDIBR52026050602040 304/IOCXPP /. Txn Amt. 1700000.00 Charges. 58.41","7","1"
"06/05/2026","06/05/2026","800000","","-142751210.04","NO BOOK DEPOSIT TRANSFER RTGS/HDFC/HDFCR520260506545 95569/VEDANT L/","8","1"
"06/05/2026","06/05/2026","","2500000","-145251210.04","C.A.S. CASH CHEQUE Paid to SELF Branch-UMARI (M.P.)","8","1"
"06/05/2026","06/05/2026","","50000","-145301210.04","DEBIT TRANS TDS FOR CASH WITHDRAWAL","8","1"
"06/05/2026","06/05/2026","","5000058","-150301268.04","CAS REMITTANCE THROUGH CHEQUE RTGS/IDFB/IDIBR52026050602050 015/DIVYA TR/RTGS Txn Amt. 5000000.00 Charges. 58.00","8","1"
"06/05/2026","06/05/2026","","9996.66","-150311264.7","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P001 / NEFT/SBIN/IDIBN520260506409880 68/RAJESH K/ Txn Amt. 9994.00 Charges. 2.66","8","1"
"06/05/2026","06/05/2026","","223029.21","-150534293.91","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P623 / NEFT/PUNB/IDIBN52026050640989 092/JAGDAMBA/ Txn Amt. 223000.00 Charges. 29.21","8","1"
"06/05/2026","06/05/2026","","5300","-150539593.91","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P011 / NEFT/PUNB/IDIBN52026050640989 452/SUNEET S/ Txn Amt. 5297.34 Charges. 2.66","8","1"
"06/05/2026","06/05/2026","","31248.61","-150570842.52","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P002 / NEFT/UBIN/IDIBN520260506409894 82/KULWANT / Txn Amt. 31243.00 Charges. 5.61","8","1"
"07/05/2026","07/05/2026","","2000058.41","-152570900.93","WITHDRAWAL TRANSFER RTGS/HDFC/IDIBR52026050702063 703/IOCXPP /. Txn Amt. 2000000.00 Charges. 58.41","9","1"
"07/05/2026","07/05/2026","","500028.91","-153070929.84","WITHDRAWAL TRANSFER RTGS/HDFC/IDIBR52026050702063 705/BPCL CAR/. Txn Amt. 500000.00 Charges. 28.91","9","1"
"07/05/2026","07/05/2026","14203","","-153056726.84","NO BOOK DEPOSIT TRANSFER NEFT/SBIN/SBINN52026050781806 323/MANCHUKOND/","9","1"
"07/05/2026","07/05/2026","","200000","-153256726.84","WITHDRAWAL TRANSFER Tax on cash withdrawal April 2026 threshold > 1 cr","9","1"
"07/05/2026","07/05/2026","","14500","-153271226.84","WITHDRAWAL TRANSFER SELF DWARIKA PRASAD GUPTA","9","1"
"07/05/2026","07/05/2026","","300028.91","-153571255.75","WITHDRAWAL TRANSFER RTGS/HDFC/IDIBR52026050702079 509/IOCXPP /. Txn Amt. 300000.00 Charges. 28.91","9","1"
"07/05/2026","07/05/2026","","9120","-153580375.75","WITHDRAWAL TRANSFER / BRANCH-P001 / SUSHIL KUMAR","9","1"
"07/05/2026","07/05/2026","","9086","-153589461.75","WITHDRAWAL TRANSFER / BRANCH-P002 / Rajendra Prasad Baagri","9","1"
"07/05/2026","07/05/2026","","8360","-153597821.75","WITHDRAWAL TRANSFER / BRANCH-P004 / NABAL KUMAR SHUKLA","9","1"
