"Value Date","Post Date","Credit Amount","Debit Amount","Closing Balance","Description","Page Number","Minus"
"02/04/2025","02/04/2025","","1600000","-116379203.5","WITHDRAWAL TRANSFER 51049 GOEL CARGO PVT LTD (GOEL ASHOK LEYLAND)","1","1"
"02/04/2025","02/04/2025","","2200058.41","-118579261.91","WITHDRAWAL TRANSFER RTGS/HDFC/IDIBR52025040244636 310/IOCXPP /. Txn Amt. 2200000.00 Charges. 58.41","1","1"
"02/04/2025","02/04/2025","737100","","-117842161.91","NO BOOK DEPOSIT TRANSFER RTGS/HDFC/HDFCR520250402571 30436/SATNA U//","1","1"
"02/04/2025","02/04/2025","","200028.91","-118042190.82","WITHDRAWAL TRANSFER RTGS/ICIC/IDIBR520250402446537 61/ECT POOL/. Txn Amt. 200000.00 Charges. 28.91","1","1"
"02/04/2025","02/04/2025","","2550","-118044740.82","WITHDRAWAL TRANSFER /IMPS/P2A/509218634811/ 050100669692119/HDFC/advan","1","1"
"02/04/2025","02/04/2025","","2.95","-118044743.77","WITHDRAWAL TRANSFER /IMPS COMMISSION CHARGES/509218634811/","1","1"
"02/04/2025","02/04/2025","","6400","-118051143.77","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBN520250402548846 79/PRAMOD K/ Txn Amt. 6397.34 Charges. 2.66","1","1"
"02/04/2025","02/04/2025","","6000","-118057143.77","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250402548835 52/RAM LAKH/ Txn Amt. 5997.34 Charges. 2.66","1","1"
"02/04/2025","02/04/2025","","18000","-118075143.77","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBN52025040254883 553/MOHIT HO/ Txn Amt. 17994.39 Charges. 5.61","2","1"
"02/04/2025","02/04/2025","","15550","-118090693.77","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBN520250402548835 54/PRAJAPAT/ Txn Amt. 15544.39 Charges. 5.61","2","1"
"02/04/2025","02/04/2025","","65101","-118155794.77","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250402548846 93/AMIT TIW/ Txn Amt. 65095.39 Charges. 5.61","2","1"
"02/04/2025","02/04/2025","","29620","-118185414.77","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBN520250402548842 70/SUSHMA G/ Txn Amt. 29614.39 Charges. 5.61","2","1"
"02/04/2025","02/04/2025","","32530","-118217944.77","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBN520250402548857 90/BABAN SA/ Txn Amt. 32524.39 Charges. 5.61","2","1"
"02/04/2025","02/04/2025","","29112","-118247056.77","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250402548849 20/SHIV DAY/ Txn Amt. 29106.39 Charges. 5.61","2","1"
"02/04/2025","02/04/2025","","14561","-118261617.77","WITHDRAWAL TRANSFER NEFT/PUNB/IDIBN52025040254884 927/MAHESH S/ Txn Amt. 14555.39 Charges. 5.61","2","1"
"02/04/2025","02/04/2025","","23050","-118284667.77","WITHDRAWAL TRANSFER NEFT/AUBL/IDIBN52025040254886 155/SUNIL JA/ Txn Amt. 23044.39 Charges. 5.61","2","1"
"02/04/2025","02/04/2025","","52940","-118337607.77","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250402548849 28/SANDEEP / Txn Amt. 52934.39 Charges. 5.61","3","1"
"02/04/2025","02/04/2025","","10900","-118348507.77","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250402548849 29/SHANKAR / Txn Amt. 10894.39 Charges. 5.61","3","1"
"02/04/2025","02/04/2025","","34700","-118383207.77","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBN520250402548858 37/NANDLAL / Txn Amt. 34694.39 Charges. 5.61","3","1"
"02/04/2025","02/04/2025","","27220","-118410427.77","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250402548858 38/AMIT KUM/ Txn Amt. 27214.39 Charges. 5.61","3","1"
"02/04/2025","02/04/2025","","19771","-118430198.77","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBN520250402548861 80/HEERAMAN/ Txn Amt. 19765.39 Charges. 5.61","3","1"
"02/04/2025","02/04/2025","","38753","-118468951.77","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250402548849 33/AMIT KUM/ Txn Amt. 38747.39 Charges. 5.61","3","1"
"02/04/2025","02/04/2025","","29701","-118498652.77","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBN520250402548849 35/RAMMANI / Txn Amt. 29695.39 Charges. 5.61","3","1"
"02/04/2025","02/04/2025","","54640","-118553292.77","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250402548861 86/RAVI PRA/ Txn Amt. 54634.39 Charges. 5.61","3","1"
"02/04/2025","02/04/2025","","21053","-118574345.77","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250402548861 88/MRATUNJA/ Txn Amt. 21047.39 Charges. 5.61","4","1"
"02/04/2025","02/04/2025","","11524","-118585869.77","WITHDRAWAL TRANSFER NEFT/PUNB/IDIBN52025040254885 848/RAJMAN S/ Txn Amt. 11518.39 Charges. 5.61","4","1"
"02/04/2025","02/04/2025","25000","","-118560869.77","NO BOOK DEPOSIT TRANSFER NEFT/UTIB/UTIBN62025040249163 493/VK2855 /","4","1"
"02/04/2025","02/04/2025","26000","","-118534869.77","NO BOOK DEPOSIT TRANSFER NEFT/UTIB/UTIBN62025040249163 490/VK2855 /","4","1"
"02/04/2025","02/04/2025","63654","","-118471215.77","NO BOOK DEPOSIT TRANSFER NEFT/UTIB/UTIBN62025040248691 266/BADRIKA AU/","4","1"
"03/04/2025","03/04/2025","","437528","-118908743.77","CAS REMITTANCE THROUGH CHEQUE INW_CLG :IFFCO TOKIO GENERAL INSUR","4","1"
"03/04/2025","03/04/2025","","347214","-119255957.77","CAS REMITTANCE THROUGH CHEQUE INW_CLG :IFFCO TOKIO GENERAL INSUR","4","1"
"03/04/2025","03/04/2025","","650029.21","-119905986.98","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBN52025040355011 854/BPCL ECM/ Txn Amt. 650000.00 Charges. 29.21","4","1"
"03/04/2025","03/04/2025","","250029.21","-120156016.19","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250403550115 70/HPCL Dri/ Txn Amt. 250000.00 Charges. 29.21","4","1"
"03/04/2025","03/04/2025","","60534","-120216550.19","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBN520250403550115 72/VIKAS AU/ Txn Amt. 60528.39 Charges. 5.61","4","1"
"03/04/2025","03/04/2025","","40790.56","-120257340.75","WITHDRAWAL TRANSFER NEFT/BDBL/IDIBN52025040355011 876/Shri Bun/ Txn Amt. 40784.95 Charges. 5.61","5","1"
"03/04/2025","03/04/2025","","2500000","-122757340.75","C.A.S. CASH CHEQUE Paid to SELF Branch-UMARI (M.P.)","5","1"
"03/04/2025","03/04/2025","","1129255","-123886595.75","CAS SINGLE SIDED DEBIT THROUGH CHQ","5","1"
"03/04/2025","03/04/2025","6505532","","-117381063.75","CREDIT TXN","5","1"
"03/04/2025","03/04/2025","24000","","-117357063.75","NO BOOK DEPOSIT TRANSFER NEFT/UTIB/UTIBN62025040360010 571/VK4690 /","5","1"
"03/04/2025","03/04/2025","","200017.41","-117557081.16","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250403551148 38/ETC POOL/ Txn Amt. 200000.00 Charges. 17.41","5","1"
"03/04/2025","03/04/2025","","26020","-117583101.16","WITHDRAWAL TRANSFER NEFT/PUNB/IDIBN52025040355117 222/SESHMANI/ Txn Amt. 26014.39 Charges. 5.61","5","1"
"03/04/2025","03/04/2025","","30781","-117613882.16","WITHDRAWAL TRANSFER NEFT/PUNB/IDIBN52025040355116 843/SANTOSH / Txn Amt. 30775.39 Charges. 5.61","5","1"
"03/04/2025","03/04/2025","","17596","-117631478.16","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBN520250403551174 82/THAKUR P/ Txn Amt. 17590.39 Charges. 5.61","5","1"
"03/04/2025","03/04/2025","","17141","-117648619.16","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBN520250403551174 87/SHIVSHAN/ Txn Amt. 17135.39 Charges. 5.61","5","1"
"03/04/2025","03/04/2025","","11627","-117660246.16","WITHDRAWAL TRANSFER NEFT/PUNB/IDIBN52025040355117 236/MAHESH S/ Txn Amt. 11621.39 Charges. 5.61","5","1"
"03/04/2025","03/04/2025","","44875","-117705121.16","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBN520250403551168 48/AHIWARAN/ Txn Amt. 44869.39 Charges. 5.61","6","1"
"03/04/2025","03/04/2025","","11509","-117716630.16","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBN520250403551168 49/JAGYALAL/ Txn Amt. 11503.39 Charges. 5.61","6","1"
"03/04/2025","03/04/2025","","97984","-117814614.16","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBN52025040355117 242/SIDDHGOP/ Txn Amt. 97978.39 Charges. 5.61","6","1"
"03/04/2025","03/04/2025","","18645","-117833259.16","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250403551172 44/SHANKAR / Txn Amt. 18639.39 Charges. 5.61","6","1"
"03/04/2025","03/04/2025","","36519","-117869778.16","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBN52025040355116 853/SHRI BHA/ Txn Amt. 36513.39 Charges. 5.61","6","1"
"03/04/2025","03/04/2025","","23005","-117892783.16","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBN520250403551168 66/KANHIYA / Txn Amt. 22999.39 Charges. 5.61","6","1"
"03/04/2025","03/04/2025","","16470","-117909253.16","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBN520250403551172 77/JAGYALAL/ Txn Amt. 16464.39 Charges. 5.61","6","1"
"03/04/2025","03/04/2025","","6700","-117915953.16","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250403551205 67/BHISHAM / Txn Amt. 6697.34 Charges. 2.66","6","1"
"03/04/2025","03/04/2025","","8220","-117924173.16","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBN520250403551205 70/UDAYVIR / Txn Amt. 8217.34 Charges. 2.66","7","1"
"03/04/2025","03/04/2025","","40000","-117964173.16","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBN520250403551205 71/PRAMOD K/ Txn Amt. 39994.39 Charges. 5.61","7","1"
"03/04/2025","03/04/2025","","7300","-117971473.16","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBN520250403551231 24/DEEPAK / Txn Amt. 7297.34 Charges. 2.66","7","1"
"03/04/2025","03/04/2025","","40000","-118011473.16","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBN520250403551231 31/ARVIND K/ Txn Amt. 39994.39 Charges. 5.61","7","1"
