"Value Date","Post Date","Credit Amount","Debit Amount","Closing Balance","Description","Page Number","Minus"
"02/11/2024","02/11/2024","","1650029.21","-151599026.59","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24307189685 /INDIAN OIL C/ Txn Amt. 1650000.00 Charges. 29.21","1","1"
"02/11/2024","02/11/2024","","85499.61","-151684526.2","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24307189634 /SHANTI LAL S/ Txn Amt. 85494.00 Charges. 5.61","1","1"
"02/11/2024","02/11/2024","","200017.41","-151884543.61","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24307189690 /ABHUSHAN JEW/ Txn Amt. 200000.00 Charges. 17.41","1","1"
"02/11/2024","02/11/2024","","145517.41","-152030061.02","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24307189635 /PRITA GOYAL / Txn Amt. 145500.00 Charges. 17.41","1","1"
"02/11/2024","02/11/2024","","1870.66","-152031931.68","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBH24307189636 /BISEN AGENCY/ Txn Amt. 1868.00 Charges. 2.66","1","1"
"02/11/2024","02/11/2024","","4000","-152035931.68","WITHDRAWAL TRANSFER / BRANCH-P021 / Rakesh Kumar","1","1"
"02/11/2024","02/11/2024","","15000","-152050931.68","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24307193133 /SHARIPH / Txn Amt. 14994.39 Charges. 5.61","1","1"
"02/11/2024","02/11/2024","","13430","-152064361.68","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24307194611 /KULWANT SING/ Txn Amt. 13424.39 Charges. 5.61","1","1"
"02/11/2024","02/11/2024","","18819","-152083180.68","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24307195707 /AYODHA PRASA/ Txn Amt. 18813.39 Charges. 5.61","1","1"
"02/11/2024","02/11/2024","","346765","-152429945.68","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24307207370 /SANDEEP TIWA/ Txn Amt. 346735.79 Charges. 29.21","2","1"
"02/11/2024","02/11/2024","","26559","-152456504.68","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBH24307207372 /RAMMANI SAHU/ Txn Amt. 26553.39 Charges. 5.61","2","1"
"02/11/2024","02/11/2024","","25994","-152482498.68","WITHDRAWAL TRANSFER / FREIGHT PAYMENT-P002 / AMAR BAHADUR SINGH","2","1"
"02/11/2024","02/11/2024","","6448","-152488946.68","WITHDRAWAL TRANSFER / FREIGHT PAYMENT-P001 / GAUREE","2","1"
"02/11/2024","02/11/2024","","6296.66","-152495243.34","WITHDRAWAL TRANSFER NEFT/KKBK/IDIBH24307209635 /MAHAVEER SIN/ Txn Amt. 6294.00 Charges. 2.66","2","1"
"02/11/2024","02/11/2024","","9911.66","-152505155","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24307209659 /INDUSTRIAL M/ Txn Amt. 9909.00 Charges. 2.66","2","1"
"02/11/2024","02/11/2024","","9775.66","-152514930.66","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBH24307209592 /ISMATS KHAN / Txn Amt. 9773.00 Charges. 2.66","2","1"
"02/11/2024","02/11/2024","","10299.61","-152525230.27","WITHDRAWAL TRANSFER NEFT/PUNB/IDIBH24307209636 /SUNEET SINGH/ Txn Amt. 10294.00 Charges. 5.61","2","1"
"02/11/2024","02/11/2024","","4700.66","-152529930.93","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24307209638 /RAJU KUSHWAH/ Txn Amt. 4698.00 Charges. 2.66","2","1"
"02/11/2024","02/11/2024","","4700.66","-152534631.59","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24307209595 /EZAD BAX / Txn Amt. 4698.00 Charges. 2.66","2","1"
"02/11/2024","02/11/2024","","5800.66","-152540432.25","WITHDRAWAL TRANSFER NEFT/PSIB/IDIBH24307209596 /RAKESH KUMAR/ Txn Amt. 5798.00 Charges. 2.66","2","1"
"02/11/2024","02/11/2024","","13549.61","-152553981.86","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24307209665 /VIPUL AGRAWA/ Txn Amt. 13544.00 Charges. 5.61","3","1"
"02/11/2024","02/11/2024","","26999.61","-152580981.47","WITHDRAWAL TRANSFER NEFT/UCBA/IDIBH24307209706 /AFSAR KHAN / Txn Amt. 26994.00 Charges. 5.61","3","1"
"02/11/2024","02/11/2024","","4890.66","-152585872.13","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24307209709 /AWADHESH YAD/ Txn Amt. 4888.00 Charges. 2.66","3","1"
"02/11/2024","02/11/2024","","4700.66","-152590572.79","WITHDRAWAL TRANSFER NEFT/INDB/IDIBH24307209713 /SUSHMA RAI / Txn Amt. 4698.00 Charges. 2.66","3","1"
"02/11/2024","02/11/2024","","26999.61","-152617572.4","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBH24307209723 /NEERAJ JAIN / Txn Amt. 26994.00 Charges. 5.61","3","1"
"02/11/2024","02/11/2024","","21999.61","-152639572.01","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24307209724 /PRAKESH CHAN/ Txn Amt. 21994.00 Charges. 5.61","3","1"
"02/11/2024","02/11/2024","","5131.66","-152644703.67","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24307209691 /VIPUL YADAV / Txn Amt. 5129.00 Charges. 2.66","3","1"
"02/11/2024","02/11/2024","","17999.61","-152662703.28","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24307209714 /SHIWANI SING/ Txn Amt. 17994.00 Charges. 5.61","3","1"
"02/11/2024","02/11/2024","","50546.61","-152713249.89","WITHDRAWAL TRANSFER NEFT/INDB/IDIBH24307209692 /VIJAY YADAV / Txn Amt. 50541.00 Charges. 5.61","3","1"
"02/11/2024","02/11/2024","","187243.41","-152900493.3","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24307211707 /GOEL CARGO P/ Txn Amt. 187226.00 Charges. 17.41","3","1"
"02/11/2024","02/11/2024","","187243.41","-153087736.71","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24307211691 /GOEL CARGO P/ Txn Amt. 187226.00 Charges. 17.41","4","1"
"03/11/2024","03/11/2024","","7998","-153095734.71","WITHDRAWAL TRANSFER /IMPS/P2A/430811713997/ 04921100001129/PSIB/ArunaA","4","1"
"03/11/2024","03/11/2024","","2.95","-153095737.66","WITHDRAWAL TRANSFER /IMPS COMMISSION CHARGES/430811713997/","4","1"
"04/11/2024","04/11/2024","","24594","-153120331.66","WITHDRAWAL TRANSFER /IMPS/P2A/430911785296/ 0426102010075224/UBIN/Rave","4","1"
"04/11/2024","04/11/2024","","5.31","-153120336.97","WITHDRAWAL TRANSFER /IMPS COMMISSION CHARGES/430911785296/","4","1"
"04/11/2024","04/11/2024","","57555.61","-153177892.58","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24309331096 /HDFC BANK LI/ Txn Amt. 57550.00 Charges. 5.61","4","1"
