"Value Date","Post Date","Credit Amount","Debit Amount","Closing Balance","Description","Page Number","Minus"
"01/01/2025","01/01/2025","268387.47","","-145553776.36","NO BOOK DEPOSIT TRANSFER RTGS/HDFC/HDFCR520250101763 72602/ULTRATEC/","1","1"
"01/01/2025","01/01/2025","","450029.21","-146003805.57","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBN52025010140424 957/BPCL ECM/ Txn Amt. 450000.00 Charges. 29.21","1","1"
"01/01/2025","01/01/2025","","200017.41","-146203822.98","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250101404251 62/SHREE SH/ Txn Amt. 200000.00 Charges. 17.41","1","1"
"01/01/2025","01/01/2025","","250029.21","-146453852.19","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250101404254 26/HPCL Dri/ Txn Amt. 250000.00 Charges. 29.21","1","1"
"01/01/2025","01/01/2025","","1100029.21","-147553881.4","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBN52025010140425 589/INDIAN O/ Txn Amt. 1100000.00 Charges. 29.21","1","1"
"01/01/2025","01/01/2025","","40000","-147593881.4","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBN52025010140541 127/PRADEEP / Txn Amt. 39994.39 Charges. 5.61","1","1"
"01/01/2025","01/01/2025","","30000","-147623881.4","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBN520250101405411 29/RAJU KUS/ Txn Amt. 29994.39 Charges. 5.61","1","1"
"01/01/2025","01/01/2025","","65000","-147688881.4","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBN520250101405424 17/NANDLAL / Txn Amt. 64994.39 Charges. 5.61","2","1"
"01/01/2025","01/01/2025","","17603","-147706484.4","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBN520250101405427 26/THAKUR P/ Txn Amt. 17597.39 Charges. 5.61","2","1"
"01/01/2025","01/01/2025","","17259","-147723743.4","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250101405427 41/SHIV DAY/ Txn Amt. 17253.39 Charges. 5.61","2","1"
"01/01/2025","01/01/2025","","8594.66","-147732338.06","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBN52025010140542 742/ABHISHEK/ Txn Amt. 8592.00 Charges. 2.66","2","1"
"01/01/2025","01/01/2025","","50885","-147783223.06","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250101405427 27/RAVI PRA/ Txn Amt. 50879.39 Charges. 5.61","2","1"
"01/01/2025","01/01/2025","","22229","-147805452.06","WITHDRAWAL TRANSFER NEFT/INDB/IDIBN520250101405427 43/SHIVANI / Txn Amt. 22223.39 Charges. 5.61","2","1"
"01/01/2025","01/01/2025","","24203","-147829655.06","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBN520250101405427 07/SHEETA P/ Txn Amt. 24197.39 Charges. 5.61","2","1"
"01/01/2025","01/01/2025","","17353","-147847008.06","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBN520250101405427 30/NASEEM K/ Txn Amt. 17347.39 Charges. 5.61","2","1"
"01/01/2025","01/01/2025","20000","","-147827008.06","NO BOOK DEPOSIT TRANSFER NEFT/UBIN/UBINN52025010101323 570/S S COAL A/","2","1"
"01/01/2025","01/01/2025","20000","","-147807008.06","NO BOOK DEPOSIT TRANSFER NEFT/UBIN/UBINN52025010101324 811/S S COAL A/","3","1"
"01/01/2025","01/01/2025","25000","","-147782008.06","NO BOOK DEPOSIT TRANSFER NEFT/UBIN/UBINN52025010101324 799/S S COAL A/","3","1"
"02/01/2025","02/01/2025","","250029.21","-148032037.27","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBN52025010240597 009/LAKSHMI / Txn Amt. 250000.00 Charges. 29.21","3","1"
"02/01/2025","02/01/2025","","450029.21","-148482066.48","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBN52025010240597 019/INDIAN O/ Txn Amt. 450000.00 Charges. 29.21","3","1"
"02/01/2025","02/01/2025","","1500000","-149982066.48","WITHDRAWAL TRANSFER Loan Repayment GOEL CARGO PVT LTD (GOEL ASHOK LEYLAND)","3","1"
"02/01/2025","02/01/2025","737100","","-149244966.48","NO BOOK DEPOSIT TRANSFER RTGS/HDFC/HDFCR520250102768 35355/SATNA U//","3","1"
"02/01/2025","02/01/2025","483902.74","","-148761063.74","NO BOOK DEPOSIT TRANSFER RTGS/HDFC/HDFCR520250102769 58794/ULTRATEC/","3","1"
"02/01/2025","02/01/2025","","20994","-148782057.74","WITHDRAWAL TRANSFER / -P001 / MAA SARDA ROAD LINES","3","1"
"02/01/2025","02/01/2025","","5210","-148787267.74","WITHDRAWAL TRANSFER / -P002 / MAA SARDA ROAD LINES","3","1"
"02/01/2025","02/01/2025","","19994","-148807261.74","WITHDRAWAL TRANSFER / -P005 / RAKESH","3","1"
"02/01/2025","02/01/2025","","3858","-148811119.74","WITHDRAWAL TRANSFER / -P004 / MANGAL","3","1"
"02/01/2025","02/01/2025","","5428","-148816547.74","WITHDRAWAL TRANSFER / -P003 / GAUREE","3","1"
"02/01/2025","02/01/2025","","7300","-148823847.74","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBN52025010240737 645/RASHEED / Txn Amt. 7297.34 Charges. 2.66","4","1"
"02/01/2025","02/01/2025","","20000","-148843847.74","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBN520250102407376 36/PATRAM K/ Txn Amt. 19994.39 Charges. 5.61","4","1"
